Author,Date,Text
illinoisConser1,2020-10-31 06:37:16,"RT @LaylaAlisha11: The Electoral College Prediction That Will Leave the Left 'Terribly Shocked'!
Trump has guts, willingness &amp; toughness to…"
Johnnsiegbe1,2020-10-31 06:37:16,"Northern Nigeria to seize the White House from President Trump 

Pennsylvania, OHIO &amp; Florida  please do not allow… https://t.co/Xs3seHhqBN"
g5marketnet,2020-10-31 06:37:16,"RT @ABC: Speaker Nancy Pelosi slammed Trump administration's pandemic response: ""It's sinful! It's sinful that we have not addressed protec…"
AnneQuestion,2020-10-31 06:37:16,RT @cjtruth: WAS THERE REALLY ANY DOUBT?  If you listened to the fake news media you would think that Trump was going to lose everywhere.…
bells_within,2020-10-31 06:37:16,"RT @Evan_Rosenfeld: Stanford University study: “Our results suggest that [President Trump’s] rallies have resulted in more than 30,000 incr…"
WilliamQuake1,2020-10-31 06:37:16,"@777djt @Raymond999USA @USAGOD1 The Gentlemen is a Chinese speaker and a Christian, I have no problem with this get… https://t.co/jlpKO7pi6p"
Simmasongb,2020-10-31 06:37:16,"@charliekirk11 @NickMalyon1 To my friends across the pond please watch https://t.co/yNaofS7GmX
and look at what Pel… https://t.co/fUT0Yf1wcc"
karennharoo,2020-10-31 06:37:16,"RT @momsdontrave: vote for trump or do coke

me:"
miguanabo,2020-10-31 06:37:16,RT @brad_polumbo: unhinged and hateful
deepdavey,2020-10-31 06:37:16,"RT @DGPurser: BREAKING:
Brett Favre endorses Donald Trump, on the same day he holds a rally in Green Bay.

Media: crickets. https://t.co/Jv…"
