author,date,text
HeidiJGold,2020-11-01 15:25:40,❤🇺🇲
MasliahRichard,2020-11-01 15:25:40,"RT @RealCandaceO: Meanwhile, the #fakenews media refuses to show crowd shots of Joe Biden’s drive-in movie events."
Aimeeyoda,2020-11-01 15:25:40,🇺🇸 🌈💓💓💓
johnboy87704601,2020-11-01 15:25:40,RT @abigailmarone: President Trump’s reaction to Joe Biden saying he’s running for senate is just too good 🤣 https://t.co/pcABrQdtUS
FFHongKong,2020-11-01 15:25:40,RT @zhuzi47656445: @PaHouseDems https://t.co/hDntqiWw8J
realgrace_kelly,2020-11-01 15:25:40,"RT @HansMahncke: Regardless of how the Biden campaign responds (probably not at all), the most charitable interpretation is that Joe Biden'…"
KathleenLibby8,2020-11-01 15:25:40,"RT @thehill: NEW POLL: Biden up 7 points in Pennsylvania, Florida a dead heat https://t.co/z1YxMvJNYu https://t.co/4Q4QkrTAzY"
contrarymarynew,2020-11-01 15:25:40,"@JoeBiden https://t.co/lU4qtTGRwv

57,000 people! 

At ONE rally."
59Pasajero,2020-11-01 15:25:40,"RT @JoseMedem: Ni Trump ni Biden son una esperanza para Estados Unidos y la política internacional.

Aquí podéis leer mi nuevo artículo par…"
Smakdaddy422,2020-11-01 15:25:40,RT @intheMatrixxx: Try and find Biden. 🤣 https://t.co/2fHgiKmEbc
nhspirit201,2020-11-01 15:25:40,RT @prayingmedic: These screencaps will be solid gold in a couple of days.
IsmaelG39368244,2020-11-01 15:25:40,"Si Vargas Llosa apoya Biden, mejor que siga Trump."
Patricia112451,2020-11-01 15:25:40,RT @AdamSerwer: A Texas sheriff saying the law needs to be notified if you’re going to publicly display liberal views while traveling throu…
jraymond9205,2020-11-01 15:25:40,@CBSNews https://t.co/4fdKr0vkwr
johnr7654,2020-11-01 15:25:40,RT @johnr7654: @TVietor08 Say it louder! Why is it the media always ask Democrats about slipping left into socialism but they never ask con…
alicia0824,2020-11-01 15:25:40,@Fin_Munch @AltNewsMedia @JoeBiden Racist.  Xenophobe.
tweet9984,2020-11-01 15:25:40,"RT @TeamTrump: First Lady Melania Trump puts is perfectly!

""Joe Biden says he could do a better job leading this nation. Apparently when y…"
stGiGA93,2020-11-01 15:25:40,"RT @ProjectLincoln: 2 days.

No sleep 'till Biden."
MissMissDarla1,2020-11-01 15:25:40,"RT @FrankFigliuzzi1: I’m glad @FBI is looking at this, but where is Texas law enforcement??"
SocialTweet509,2020-11-01 15:25:40,"RT @dbongino: It’s Sunday, November 1st 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate"
TweetSrila,2020-11-01 15:25:40,@JoeBiden Yep animals are the best friends and afford the best security too at times!
MarthaLivingmar,2020-11-01 15:25:40,RT @GeraldHaddock1: Suburban Women:  if you are inclined to vote for Biden read Time magazine today describing the new World Order the left…
woodysgal3,2020-11-01 15:25:40,@ArielleScarcell Untrue. Trump supporter “friends” on my FB account have indeed unfriended me after I posted one Pr… https://t.co/NXChGnQ7Z3
geboers_greta,2020-11-01 15:25:40,https://t.co/swyVsAe1L9
rhebus8,2020-11-01 15:25:40,Here’s hoping! 🍀
thorlander9,2020-11-01 15:25:40,RT @nypost: Hunter Biden was very bad at setting password on his infamous laptop: report https://t.co/UuSuFOsUqE https://t.co/IiWwOHGJGr
KattieMarean,2020-11-01 15:25:40,"RT @ArthurSchwartz: Miller: Voters are seeing the Post-Gazette has “endorsed a Republican for the first time since 1972.” 

Pennsylvania vo…"
YepDemocracy,2020-11-01 15:25:40,RT @jmontforttx: The man who was aggressively driving on IH35 attempting to force the Biden Bus off the road and slow it down has been iden…
SPQ_ESQ,2020-11-01 15:25:40,"RT @ProjectLincoln: 2 days.

No sleep 'till Biden."
realCintiaLima,2020-11-01 15:25:40,RT @nypost: Smoking-gun email reveals how Hunter Biden introduced Ukrainian businessman to VP dad https://t.co/ZYP8oyu2pi https://t.co/Hcgi…
CherylPoirier2,2020-11-01 15:25:40,BREAKING: We can defeat Senator Kelly Loeffler. Chip in now to take back the Senate for Democrats. https://t.co/ykb6LDJNHE
Pamlovesbooks,2020-11-01 15:25:40,Welp I’m glad I’m not in Pittsburgh anymore. I *used* to love the PG.  👎🏽
SusanMc20891960,2020-11-01 15:25:40,@Franklin_Graham @POTUS @JoeBiden Joe for sure. Donald is a narcissistic liar. He has lied consistently throughout… https://t.co/iBxyKV5kOz
ranja_shaffer,2020-11-01 15:25:40,RT @DonaldJTrumpJr: When you watch what the Media &amp; Big Tech have done to suppress basic information harmful to Biden and boost lies about…
HoudeshellMikle,2020-11-01 15:25:40,@Ann70712291 @JoeBiden Funny like a Bunny
BrattenJeff,2020-11-01 15:25:40,"@CNNPolitics 

https://t.co/burghgbN3P"
gillianbdoll,2020-11-01 15:25:40,"RT @StatesPoll: 2020 Electoral College Forecast Final Map 
Donald Trump vs Joe Biden
November 1. 2020.  No Toss up Map
My Analysis Post: ht…"
childproofcaps,2020-11-01 15:25:40,"RT @ProudSocialist: According to neoliberals, in the primary @JoeBiden was the most “electable” candidate, but in the general my one vote i…"
Dorrie49,2020-11-01 15:25:40,"RT @realDonaldTrump: Biden wants to LOCKDOWN our Country, maybe for years. Crazy! There will be NO LOCKDOWNS. The great American Comeback i…"
beware_koko,2020-11-01 15:25:40,RT @GovMikeHuckabee: I’ll be on @foxandfriends @FoxNews 830ET w/ @kilmeade @SteveDoocy @ainsleyearhardt and will translate some of Joe’s sp…
ImaLindatoo,2020-11-01 15:25:40,"RT @realDonaldTrump: Biden wants to LOCKDOWN our Country, maybe for years. Crazy! There will be NO LOCKDOWNS. The great American Comeback i…"
benrezzy,2020-11-01 15:25:40,RT @k72023: “Simple luxury” 😭 Biden please raise these taxes NOW
JoeBidenfuck,2020-11-01 15:25:40,RT @MatthewJshow: @realDonaldTrump Joe Biden is owned by China!
momof2buoys,2020-11-01 15:25:40,RT @FloridaDude297: FLORIDA DUDE POLL.  US Senate Race Analysis.  #1 reason late breaking Independent voters are aligning with Republicans…
izzy6968,2020-11-01 15:25:40,RT @McFaul: Biden won't appease dictators. He'll stand up to them. https://t.co/e5HeVmxBUK
Conservataria16,2020-11-01 15:25:40,"RT @RealJamesWoods: 58,000 showed up for President Trump in Butler, PA.  Those are rock star numbers. Biden literally can’t fill a minivan.…"
ltanner70,2020-11-01 15:25:40,"RT @GovHowardDean: If Biden was on that bus, the Secret service will investigate and the driver will likely do jail time."
jp1dp2,2020-11-01 15:25:40,RT @JoyAnnReid: Accurate.
Maria26DWade,2020-11-01 15:25:40,RT @sarahwoodwriter: This is a LIE. But Trump DID take out a FULL PAGE ad claiming the guilt of the Central Park Five when they were innoce…
GoGoPowerHoodz,2020-11-01 15:25:40,"RT @mmpadellan: With President Joe Biden, we can all go back to having normal sleep schedules again."
inatwit,2020-11-01 15:25:40,RT @AdamInHTownTX: @JoeBiden Yet you would lock down the country again. How will that help small businesses and unemployed Americans?
bragh_97,2020-11-01 15:25:40,Why someone would hang a French Hill sign on my door while I have a Biden sign in the yard is beyond me. Oh well. I… https://t.co/1PRYvGUMYO
LesterVictor1,2020-11-01 15:25:40,RT @TomFitton: Smoking-gun email reveals how Hunter Biden introduced Ukrainian businessman to VP dad https://t.co/Mgij7D4DsO via @nypost
MacheteMable,2020-11-01 15:25:40,@RichardHasse @scottsantens @JoeBiden Why not at the same time?
RalphVarlese,2020-11-01 15:25:40,So fucking sick and tired of Trumpters saying Biden supporters are violent. Show me one account of a Biden supporte… https://t.co/Myl1aXqkzD
yenotbre,2020-11-01 15:25:40,#BidenHarristoSLAVEAmerica
ABN_PFDR_SSG,2020-11-01 15:25:40,RT @1776Stonewall: @realDonaldTrump The Biden/Harris staff on the bus actually called the cops. Isn't that amazing? The people calling to d…
SeriouslyWright,2020-11-01 15:25:40,"RT @atensnut: Joe Biden first ran for President in 1987 .... before a lot of you were born. 

We didn’t like him back then, either."
uctruthhurtzq,2020-11-01 15:25:40,"@StatesPoll I like it. However, I know a huge group of democrats that are for Trump. I’m talking thousands. This wa… https://t.co/XVChYivdt9"
mbboblawblaw,2020-11-01 15:25:40,"@realDonaldTrump Joe Biden is going to ban beer, wine and coffee when elected."
noah_mule,2020-11-01 15:25:40,"RT @livetweettweet: @KELLYWEILL First, they all sat lined up on the side of I-35, dozens of pickups, waiting for the Biden bus. Then they s…"
baileyboobaby,2020-11-01 15:25:40,"RT @RealJamesWoods: #Antifa, the paramilitary mercenaries of the Democrats, have vowed to interrupt our most sacred right as Americans. The…"
MiguelMendozaB,2020-11-01 15:25:40,"RT @ActualidadRT: 🔴 EE.UU., nuevo máximo de casos de covid-19
🔴 Francia: Es posible que se produzcan más atentados  
🔴 Trump: Si gana Biden…"
atrumpchump,2020-11-01 15:25:40,"RT @GOP: “A vote for Biden and Harris is a vote to Ban Fracking, Ban Mining, and Completely Destroy Pennsylvania.” -@realDonaldTrump https:…"
DD4USA,2020-11-01 15:25:40,"RT @bcn4eva2: 💥BOMBSHELL DROP: After #Biden announced his candidacy vs. Trump, the Biden Center for Diplomacy &amp; Global Engagement at the Un…"
LuberMal,2020-11-01 15:25:40,On Nov.3 America will tell @JoeBiden what it thinks of him. https://t.co/3y4HY3Ctid
plugrooster,2020-11-01 15:25:40,"#MakeNovemberCountAndVote
@realDonaldTrump @JoeBiden 
#FregenATrump2020"
faithsheree843,2020-11-01 15:25:40,RT @IamIsaiahKing: And you called for the Central Park Five to get the death penalty Trump we did not forget.
Gparis58,2020-11-01 15:25:40,"RT @realDonaldTrump: Biden wants to LOCKDOWN our Country, maybe for years. Crazy! There will be NO LOCKDOWNS. The great American Comeback i…"
MMcC53,2020-11-01 15:25:40,"You would be the president of Nancy, AOC, and the Sandernistas."
Jesus_isALLthat,2020-11-01 15:25:40,RT @ITGuy1959: They don't want the optics of Trump supporters outnumbering them in their own events.
CasaMagdalenaCo,2020-11-01 15:25:40,"RT @jerome_corsi: EXCLUSIVE: National security nightmare of Hunter Biden's laptop https://t.co/GEWUp5YeL9 Laptop also showed he spent $21,0…"
USAtime2Unite,2020-11-01 15:25:40,RT @Matthew50095058: @patton6966 https://t.co/4Ngb7vrr4O
ReasonD10,2020-11-01 15:25:40,https://t.co/HYHlRUFiZz
ABK25chd,2020-11-01 15:25:40,RT @marklevinshow: BIG endorsement
Yam2426,2020-11-01 15:25:40,RT @intheMatrixxx: Try and find Biden. 🤣 https://t.co/2fHgiKmEbc
ElwinLyn,2020-11-01 15:25:40,@KamalaHarris they  shipped your jobs to china https://t.co/TsmsUjpyvP
Katzelacht,2020-11-01 15:25:40,"RT @thebadseed2: @DoYouEvenLif My bro, sister, and bro-in-law voted for Trump in 2016, but are voting for Biden this year, so now they don’…"
mkues65,2020-11-01 15:25:40,RT @Alpha_57: Schumer-Affiliated PAC Runs Deceptive Ad About John James as Democrats Panic About Michigan Senate Race https://t.co/ameTeOeY…
americanblonde9,2020-11-01 15:25:40,"RT @marklevinshow: Biden-Sanders manifesto mimics Stalin’s Soviet 1936 Constitution
https://t.co/tDWnq08UFR"
Molka6666,2020-11-01 15:25:40,RT @nypost: Smoking-gun email reveals how Hunter Biden introduced Ukrainian businessman to VP dad https://t.co/ZYP8oyu2pi https://t.co/Hcgi…
DaytonLivingst2,2020-11-01 15:25:40,"RT @realDonaldTrump: Joe Biden called Black Youth SUPER PREDATORS. They will NEVER like him, or vote for him. They are voting for “TRUMP”."
Catcar53,2020-11-01 15:25:40,@GOP @realDonaldTrump Trump fights only for his supporters and punishes AMERICANS whose leaders question him.  Bide… https://t.co/aFmbJxuHdH
AkiHarkonen,2020-11-01 15:25:41,RT @nypost: Hunter Biden emails show leveraging connections with his father to boost Burisma pay https://t.co/cuAsVCMMii https://t.co/kVGGw…
tdyistheday,2020-11-01 15:25:41,"RT @johnrobertsFox: Big endorsement for @realDonaldTrump from the Pittbugh Post-Gazette today:
The man and the record  https://t.co/JQfQINq…"
RuthieRedSox,2020-11-01 15:25:40,RT @Doranimated: The polls tell us that Biden is set to win easily. The crowds create a different impression. We will soon see.
GPAWALTON,2020-11-01 15:25:41,"RT @thebradfordfile: If Biden is winning--why are Trump supporters all smiling, laughing, and having a great time?"
codagirljane,2020-11-01 15:25:41,"RT @tribelaw: Listen to Fauci. Save your family. Vote for Biden/Harris on Tuesday. 
https://t.co/8aAivWZ3GP"
QueenDC63,2020-11-01 15:25:41,"RT @FrankFigliuzzi1: I’m glad @FBI is looking at this, but where is Texas law enforcement??"
yoclockface,2020-11-01 15:25:41,"@DoYouEvenLif @JoeBiden Y, voted, verified by e-mail, no line, safe CA dropbox and there were plenty."
roxid2011,2020-11-01 15:25:41,"RT @Asli_Liberal: We crib about India not having enough political choice sand Modi has to win because of TINA factor

Then you look at USA…"
TrumpCountry45,2020-11-01 15:25:41,RT @catturd2: Damn right - it's called FREEDOM!
SenseProud,2020-11-01 15:25:41,RT @SenseProud: 🤣😂🤣🤣😂🤣🤣🥰
ufuomaogba,2020-11-01 15:25:41,"RT @CaslerNoel: “I didn’t make this happen, THEY did.” And we both turned and looked out at a sea of rejoicing faces stretching all the way…"
Moon7777,2020-11-01 15:25:41,RT @FloridaDude297: FLORIDA DUDE POLL.  US Senate Race Analysis.  #1 reason late breaking Independent voters are aligning with Republicans…
mm_305,2020-11-01 15:25:41,RT @JoMichigan1: @ProfMJCleveland How ironic is it that Hunter Biden was the one committing FARA violations? Not to mention the Logan  Act.…
RebelNurse76,2020-11-01 15:25:41,"RT @kat2020maga: Obama just campaigned for Biden in Flint Michigan...

Remember when Obama mocked the citizens of Flint for wanting clean d…"
CapitanDaydream,2020-11-01 15:25:41,RT @DavidJHarrisJr: Oh yeah! The truth about @JoeBiden is coming out! The plantation masters are losing their grip on their political slave…
EraseObamanow,2020-11-01 15:25:41,RT @RepMattGaetz: Joe Biden will allow the mob to burn and loot your business while he renders your job illegal.
JayClarkeBass,2020-11-01 15:25:41,"@atrupar These people are insane, he hasn’t been ahead or even close to Biden in a poll all year! Well played @Fox"
JimSchwartz0,2020-11-01 15:25:41,"RT @charliekirk11: Democrats claim Trump won't agree to a peaceful transition of power. Meanwhile, businesses in cities across America are…"
portgio5,2020-11-01 15:25:41,"RT @fred_guttenberg: .@JudgeJeanine, you fucking terrorist.  They tried to force this bus off the road. I remember when you called me after…"
McwhirterDiana,2020-11-01 15:25:41,RT @nypost: Smoking-gun email reveals how Hunter Biden introduced Ukrainian businessman to VP dad https://t.co/Acb0EtQGA1 https://t.co/kSnm…
leighjohnston,2020-11-01 15:25:41,@JoeBiden https://t.co/DZSdFIIOkp
somersette,2020-11-01 15:25:41,"@OneEyeBlackJack @DavidCornDC Biden did not mention race. Biden did not call them super-predators.. H. Clinton did,… https://t.co/Ao5tOQJ7jB"
geeman4557,2020-11-01 15:25:41,"RT @realDonaldTrump: Joe Biden has been a disaster for African Americans and Hispanic Americans—I am fighting for citizens of every race, c…"
GaitaudCons,2020-11-01 15:25:41,"RT @FloridaDude297: FLORIDA DUDE SNAP POLL (500 Registered Voters Called) Michigan Trump 50%, Biden 46%."
melodyisdestiny,2020-11-01 15:25:41,"RT @MattNegrin: On Nov. 4 Trump will hold a press conference to lie and say he won

Instead of asking ""why do you think you won"" the press…"
Reclusus,2020-11-01 15:25:41,"RT @ShahidForChange: The pandemic exposes the failures of our system.

Trump has done everything possible to make it worse.

But don’t forg…"
TruthTo59816979,2020-11-01 15:25:41,"RT @gtconway3d: That was Hillary, dum-dum, not Joe. 

On the other hand, it was you who said two Black members of Congress should ""go back""…"
KHermiller,2020-11-01 15:25:41,"RT @atensnut: Joe Biden first ran for President in 1987 .... before a lot of you were born. 

We didn’t like him back then, either."
ArtInovar,2020-11-01 15:25:41,"RT @BolsoTrumpRaiz: LÓGICA ESQUERDISTA:
- FILHOS DO BOLSONARO: Eles não prestam, o Bolsonaro tem que sofrer impeachment.
- FILHO DO BIDEN:…"
jan54514504,2020-11-01 15:25:41,Corrupt as the rest of the Democrats. Without a paper trail https://t.co/1qxoIlbEZT
cadams1866,2020-11-01 15:25:41,Go back to your basement sleepy joe
Yvetteinsc,2020-11-01 15:25:41,@MichaelArt123 We have the votes. Everybody sees the turnout numbers. I'm not throwing shade at Democrats because I… https://t.co/iQGugc3Sy6
BatesSherrod,2020-11-01 15:25:41,RT @rolandsmartin: IGNORE all presidential polls! Mobilize. Organize. Coordinate caravans and Vote on Nov. 3. Not registered? Your state ma…
DRSPIELS,2020-11-01 15:25:41,"@realDonaldTrump To defend your family, your country, and the American way of life, VOTE JOE BIDEN! Donald Trump co… https://t.co/XJSpBALnMi"
redboybroken,2020-11-01 15:25:41,"RT @gtconway3d: That was Hillary, dum-dum, not Joe. 

On the other hand, it was you who said two Black members of Congress should ""go back""…"
RBYBW4Liberty,2020-11-01 15:25:41,"RT @Nigel_Farage: Joe Biden’s big financial backers are from Apple, Facebook, Google, Amazon. Is it any wonder that the Hunter Biden story…"
