author,date,text
cmccone26,2020-11-01 15:22:20,Let's all take Marco's words to heart.
theadrianangel,2020-11-01 15:22:20,"@EscapedCuba @Alon2T @realDonaldTrump But the fascism, authoritarianism, and racism is okay with you?"
JULIE42909110,2020-11-01 15:22:20,"@CNNPolitics maybe time to replay all the anti trump marches, protests, womens marches, black lives matter marches… https://t.co/GjaVQyFgp4"
saltywidowrn,2020-11-01 15:22:20,#VoteHimOut2020
SheilaH45166240,2020-11-01 15:22:20,"Time for him to go away, prison or Russia."
6ofmyown,2020-11-01 15:22:20,@ScottPresler @realDonaldTrump God Bless you Scott! We’re praying for a @realDonaldTrump WIN! #Trump2020LandslideVictory
ThielenSusan,2020-11-01 15:22:20,"RT @JaneMayerNYer: Amazingly, Trump may be able to pardon himself- unless Convicted of NY State crimes: https://t.co/RATCUCKdRq"
carolyn_manza,2020-11-01 15:22:20,"RT @RyanDeto: This guy runs the editorial department at the Pittsburgh Post-Gazette, just to end any notion that the paper’s endorsement ma…"
darylmox,2020-11-01 15:22:20,RT @amlivemon: Clinton lost Michigan college educated voters in 2016 after this clown said the same thing 4 years ago... https://t.co/8Qtc3…
Charles35093463,2020-11-01 15:22:20,RT @JohnJHarwood: deranged https://t.co/d9v3QHTl7t
YaBoiRaw25,2020-11-01 15:22:20,"RT @wxandnews: Yesterday, a pro Trump caravan, escorted by Fort Worth police, tried to intimidate voters by driving through a polling stati…"
ThomasFavalora,2020-11-01 15:22:20,"RT @funder: I bet Biden would take Trump rally attendees to their car if he were in the area. Because Biden cares about them, and Trump doe…"
LKicior,2020-11-01 15:22:20,"RT @realDonaldTrump: Joe Biden called Black Youth SUPER PREDATORS. They will NEVER like him, or vote for him. They are voting for “TRUMP”."
BeaReno,2020-11-01 15:22:20,"RT @HKrassenstein: BREAKING: The Trump Campaign sent an email to Pennsylvania election officials, asking for the address &amp; room numbers of…"
krazekrackr,2020-11-01 15:22:20,RT @GamebredFighter: Nah homie. In cuba you couldn’t say anything bad about Castro. Turn on the tv here and you can’t find a good thing the…
LindyLoo515,2020-11-01 15:22:20,#TrumpTerroism
VinKyenkyehene,2020-11-01 15:22:20,"RT @spectatorindex: Heads of state or government by age.

Elizabeth II: 94
Salman: 84
Francis: 83
Buhari: 77
Trump: 74
Suga: 71
Modi: 70
Pu…"
soppyhon,2020-11-01 15:22:20,"RT @Lrihendry: If America doesn't Vote for Donald J Trump, you will have Kamala Harris as your President."
SamiamaDem,2020-11-01 15:22:20,RT @RzstProgramming: This isn’t the first time Trump supporter Eliazar Cisneros used his truck to terrorize. Eliazar also drove his truck i…
MariaMa27265801,2020-11-01 15:22:20,"RT @Rosie_wearamask: Thank you for your service🇺🇸🇺🇸🇺🇸🇺🇸
The American people deserve the truth about this 
disgusting duo. #TrumpCrimeFamily…"
JDRains11,2020-11-01 15:22:20,"RT @StacyShafer6: We drive our Texas trucks on Texas highways and we like Trump flags. The bus escort was simply Texas hospitality.
Come on…"
NotMyPr63956594,2020-11-01 15:22:20,"RT @lesleyabravanel: @realDonaldTrump NO HE DOES NOT, YOU PATHOLOGICAL PUSBAG. Unlike you, he wants to shut down the VIRUS so we can safely…"
BobWeav91853980,2020-11-01 15:22:20,RT @EmeraldRobinson: The only group of people who don’t notice that President Trump has massive popular support are liberal journalists at…
AngelaS65154611,2020-11-01 15:22:20,"RT @GregRubini: TRUMP  406
BIDEN    132
analysis State by State will be linked below - [THREAD] under development

Retweet! https://t.co/2B…"
jckungfu,2020-11-01 15:22:20,RT @TimInHonolulu: Does Trump's call for all-out war on American socialists include the Iowa farmers who get govt support?  @TheDemocrats s…
Neffie67,2020-11-01 15:22:20,@NationalParklvr @EliseStefanik @TedraCobb While the Trump story is total bullshit and you can provide zero proof h… https://t.co/89ozVx8ngz
WEHolmblad,2020-11-01 15:22:20,"RT @NatashaBertrand: New: As Giuliani dug for dirt on Biden, waged shadow diplomatic campaigns in Venezuela and Turkey, and spoke regularly…"
WaWong87,2020-11-01 15:22:20,@BarackObama @JoeBiden
nina_grinberg,2020-11-01 15:22:20,"@JPZtweeting Once on FOX, I've heard, that it's against the law in Canada for pilot to address to the passengers as… https://t.co/VLBwn3ruue"
vonlams,2020-11-01 15:22:20,"RT @123RHGreen: Newt Gingrich: Will Trump win? 

Yes. I think history will repeat itself – here's why.

https://t.co/p7s202HBAh #FoxNews"
LuciNichol28,2020-11-01 15:22:20,"RT @BernieSanders: We must elect Joe Biden because we need a president who, unlike Trump, will listen to science in order to address this p…"
