author,date,text
R0nnieBergman,2020-10-31 09:24:34,RT @standardnews: I created The Thick of It and Veep but Donald Trump is beyond satire. Armando Iannucci’s verdict on POTUS @Aiannucci http…
Godhelpusameric,2020-10-31 09:24:34,"RT @realDonaldTrump: “A Biden win would mean the end of Fracking in Pennsylvania, Texas, and everywhere else. Millions of jobs would be los…"
Zehub,2020-10-31 09:24:34,VIDEO. Election présidentielle aux États-Unis : ce qui fera basculer le vote https://t.co/QqUUauoltp
JamieParrigin,2020-10-31 09:24:34,"RT @realDonaldTrump: President Obama used to say that “if you wanted to see something really screwed up, give it to Joe Biden to do.” In fa…"
Powerfader54,2020-10-31 09:24:34,Tucker Carlson: Hunter Biden scandal shows media collusion with powerful is the real threat to America https://t.co/rlTTedt3Ml
America_Mine,2020-10-31 09:24:34,RT @mabomm1: The Russian hoax President Trump’s family was all questioned. With Bidengate no one will be questioned. Fake news media FBI DO…
JHRexie,2020-10-31 09:24:34,RT @thebradfordfile: I would love to see General Flynn introduce Trump at his last rally on election eve.
DevukDelta,2020-10-31 09:24:34,"RT @funder: Trump used $250,000,000 meant for coronavirus education to help his re-election. FFS vote Biden. Seriously."
Carlos16388365,2020-10-31 09:24:34,"RT @SMoncada_VEN: 5/ Andrew Horn, asistente del Vicepresidente Mike Pence y Jason Beardsley, veterano de guerra trabajando en el Departamen…"
mqjdQ6TQr13mfr6,2020-10-31 09:24:34,"支持川普總統 
希望美國能在您的帶領下 
繼續偉大 自由 民主 
且在有能力的情況下 
繼續消滅共產極權"
StarkerSusan,2020-10-31 09:24:34,RT @ericcervini: We don’t know what Trump’s supporters (or Russia) have planned for Tuesday. We don’t know what kind of intimidation and su…
realGilbertP,2020-10-31 09:24:34,"RT @charliekirk11: Joe Biden calls Trump supporters “ugly folks” in Minnesota

Just a week after he called them “chumps” in Pennsylvania

D…"
Elzieray,2020-10-31 09:24:34,RT @kayleighmcenany: Why is Joe Biden yelling? 🤔
Peter42513355,2020-10-31 09:24:34,"RT @GOP: “But no one believes Biden will stand up to the Left’s power grab, given his unwillingness to condemn efforts to pack the Supreme…"
InsideASCIF,2020-10-31 09:24:34,RT @jenji: @realDonaldTrump I PERSONALLY BLAM YOU. I voted for you 4 years ago. Don’t like Biden at all... but I voted for him. You &amp; Pence…
cE1IekLYG6fAMGM,2020-10-31 09:24:34,"RT @j2018wm: The Third Wave(Email 22 Declassification):What is the relationship between Burisma founder Nikolai and Hunter Biden?

#BidenEm…"
Vickylancaste10,2020-10-31 09:24:35,RT @JackPosobiec: Banning fracking
LailaOLaila1,2020-10-31 09:24:34,@schultz_sgt @realDonaldTrump I read that Trump supporters were White people without education. America has too man… https://t.co/IfxpU7hqTU
TamaraInphilly,2020-10-31 09:24:35,"RT @LisaMarieBoothe: If Brett Favre, Jack Nicklaus, Lil Wayne, and Lil Pump all support Trump, imagine what kind of broad coalition exists…"
patriot_wwg1wga,2020-10-31 09:24:35,RT @YankeeMommy: SYMBOLISM WILL BE THEIR DOWNFALL!!! Help me fill in the rest of the “Finger” Lakes. All of Hunter Biden’s companies are na…
RKorsgren,2020-10-31 09:24:35,"RT @Muzzakh: People came here to mourn, Trump supporters came here to beat people up."
ALICEGEURTS1,2020-10-31 09:24:35,RT @Geert115: @vrtnws Tegelijkertijd met het FBI onderzoek naar #HunterBidenEmails #Hunterbidenlaptop https://t.co/RXHiPyUGvp
Pat_riots2KAG,2020-10-31 09:24:35,RT @mspdcali: @thebradfordfile If Trump loses I’m cheating on my taxes to offset Biden’s huge tax increase!
themajority2018,2020-10-31 09:24:35,RT @jmartNYT: Biggest story of the day.  Sitting president says American doctors are getting rich on people dying from the pandemic  &gt;&gt;&gt;
promises_kept_,2020-10-31 09:24:35,RT @LionelMedia: Something’s up.  https://t.co/Gld2fami4x
DeeDeCrist,2020-10-31 09:24:35,RT @amuse: Vote for Trump. There is still time to save our country.  https://t.co/qEBHrVRPa7
jkd_44,2020-10-31 09:24:35,Trump le plus crédible 😉
Lack1951,2020-10-31 09:24:35,"RT @charliekirk11: Joe Biden calls Trump supporters “ugly folks” in Minnesota

Just a week after he called them “chumps” in Pennsylvania

D…"
NibirAbidur,2020-10-31 09:24:35,"For digital marketer/ video marketer/ video submission order now&gt;&gt; 
https://t.co/DmowXoD4uk"
Citizen817,2020-10-31 09:24:35,"RT @charliekirk11: Would Democrat cities be boarding up businesses and preparing for riots if Joe Biden were actually up 14 points?

🤔"
USChinaandASEAN,2020-10-31 09:24:35,RT @AngelaG03421476: 应该脱欧党领袖Nigel：“这次的选举是川普带来希望和拜登带来恐惧的对决”
purnell_johnny,2020-10-31 09:24:35,"RT @cmclymer: @BrettFavre @realDonaldTrump Sir, I think this is wonderful news. Given your talent for consistently throwing away games with…"
major_tom85,2020-10-31 09:24:35,RT @Yamiche: American Medical Association is now pushing back on Trump's false claim that doctors &amp; hospitals are jacking up death tolls to…
RickB72503734,2020-10-31 09:24:35,RT @RealKiraDavis: Wow. The group that installed that 405 freeway TRUMP sign has come forward with a pro-Trump campaign video and IT IS 🔥.…
intendsun,2020-10-31 09:24:35,"RT @Cleavon_MD: As an Iraq war vet and ER doctor, I risk my life every fucking day at work treating patients with COVID. I'm not asking for…"
pinette_brian,2020-10-31 09:24:35,RT @DonaldJTrumpJr: Kamala Harris: Joe Biden and I Are About to Work to Get Rid of Tax Cuts.  https://t.co/0gTVsxcV2P
minayabadal,2020-10-31 09:24:35,"RT @donwinslow: 62 million people voted for this POS.

62 MILLION people."
BrendaGremli,2020-10-31 09:24:35,@ColoradoDavidSu Trump is crazy!! https://t.co/lnxcFUlok5
AHeck444,2020-10-31 09:24:35,"Um, anybody else find this disturbing?"
Despertar5d,2020-10-31 09:24:35,@realDonaldTrump The fact that Trump has not declared any war during his administration is a fact to celebrate. Unl… https://t.co/5569W8Mjza
anust4rt,2020-10-31 09:24:35,LIAR
JenniferAnne160,2020-10-31 09:24:35,"RT @PeteButtigieg: Like @JoeBiden, and most Americans, I know climate change is real and believe we must act now. 

Donald Trump doesn’t. D…"
_spacedandyx,2020-10-31 09:24:35,RT @itsssjesenya: Just A Reminder! Pretty Girls Hate Trump! Please Vote If You Can! 💗✨ https://t.co/OV059DFmKt
sliman04546556,2020-10-31 09:24:35,@DenisBermon @FEEMelusine2 @christine_kelly Écoute je veux bien te croire mais ça c'est les dires d'une personne an… https://t.co/NB12lGLtuc
georgebarnes311,2020-10-31 09:24:35,"Yes the first president who created more jobs for minorities in the last 30 years, freed African Americans from Bid… https://t.co/c9a7MuFnQG"
GratefulStill,2020-10-31 09:24:36,"RT @Rothbard1776: Some of the absolute worst gaslighting I’ve ever seen in my life. I have to admit, I enjoy it. Smells like pure desperati…"
edwarddolan11,2020-10-31 09:24:36,@guardian This Clown President is more interested in flashing the white supremacy fist than he is in truth telling.… https://t.co/fYFet8oLq0
3D_china,2020-10-31 09:24:36,"@yan_zlobin @Rogozin @roscosmos If you don't follow the Hunter Biden incident, you can treat it as lace news. You d… https://t.co/FSUUMl0xtW"
